,ts_code_sh_index,trade_date,close_sh_index,open_sh_index,high_sh_index,low_sh_index,pre_close_sh_index,change_sh_index,pct_chg_sh_index,vol_sh_index,amount_sh_index,ts_code_sz_index,close_sz_index,open_sz_index,high_sz_index,low_sz_index,pre_close_sz_index,change_sz_index,pct_chg_sz_index,vol_sz_index,amount_sz_index
2159,000001.SH,20150601,4828.738,4633.098,4829.502,4615.231,4611.744,216.994,4.7052,593389035.0,934455504.512,399001.SZ,16917.525,16247.389,16921.066,16245.553,16100.448,817.077,5.0749,364798783.08,829892628.2944
2160,000001.SH,20150529,4611.744,4603.465,4698.193,4431.563,4620.266,-8.522,-0.1844,611262409.0,955365592.128,399001.SZ,16100.448,15920.326,16386.054,15299.647,15912.947,187.501,1.1783,412437255.95,900657454.1041
2161,000001.SH,20150528,4620.266,4943.742,4986.503,4614.241,4941.714,-321.448,-6.5048,782964592.0,1247926031.294,399001.SZ,15912.947,16953.604,17153.803,15909.101,16963.522,-1050.575,-6.1931,522049636.77,1113595987.4174
2162,000001.SH,20150527,4941.714,4932.846,4958.156,4857.056,4910.897,30.817,0.6275,681165379.0,1116261779.774,399001.SZ,16963.522,16988.904,17061.917,16610.779,16903.471,60.051,0.3553,444795218.96,991067291.9683
2163,000001.SH,20150526,4910.897,4854.85,4911.685,4779.075,4813.798,97.099,2.0171,704892829.0,1138509334.979,399001.SZ,16903.471,16456.23,16904.147,16397.504,16351.056,552.415,3.3785,446921466.33,973387615.1212
2164,000001.SH,20150525,4813.798,4660.075,4814.672,4656.825,4657.596,156.202,3.3537,682461391.0,1079295626.027,399001.SZ,16351.056,15894.14,16368.908,15810.149,16045.797,305.259,1.9024,421405387.31,912116359.109
2165,000001.SH,20150522,4657.596,4584.984,4658.273,4562.989,4529.422,128.174,2.8298,655591287.0,1007173224.928,399001.SZ,16045.797,16084.038,16191.152,15731.01,15872.534,173.263,1.0916,436129070.9,953022018.2823
2166,000001.SH,20150521,4529.422,4456.435,4530.478,4438.258,4446.288,83.134,1.8697,464996520.0,729080613.491,399001.SZ,15872.534,15402.948,15872.588,15402.948,15337.083,535.451,3.4912,355766470.25,793016592.1698
2167,000001.SH,20150520,4446.288,4434.979,4520.538,4432.279,4417.552,28.736,0.6505,514106223.0,806080531.967,399001.SZ,15337.083,15206.559,15618.128,15206.559,15127.376,209.707,1.3863,379613287.38,816056299.4613
2168,000001.SH,20150519,4417.552,4285.777,4418.403,4285.777,4283.491,134.061,3.1297,436735224.0,693812586.577,399001.SZ,15127.376,14723.214,15173.919,14704.328,14672.632,454.744,3.0993,318039850.08,699386747.0411
2169,000001.SH,20150518,4283.491,4277.895,4324.826,4260.509,4308.691,-25.2,-0.5849,380057452.0,594559493.076,399001.SZ,14672.632,14612.884,14759.086,14564.733,14694.947,-22.315,-0.1519,295493125.76,636452491.9588
2170,000001.SH,20150515,4308.691,4366.822,4366.822,4278.553,4378.311,-69.62,-1.5901,439706198.0,665965618.548,399001.SZ,14694.947,14955.411,14955.411,14590.757,15024.468,-329.521,-2.1932,311171360.39,640341241.4884
